#{"t_start": 1720054265.2362587, "env_id": "None"}
r,l,t
3100.0,1,523.40663
0.0,500,526.168686
3100.0,1,526.653247
0.0,500,529.4578
0.0,500,532.378953
3100.0,1,532.879296
0.0,500,535.43889
0.0,500,537.971963
0.0,500,540.446382
3100.0,1,540.937073
0.0,500,543.587263
0.0,500,546.359922
3100.0,1,546.844941
0.0,500,549.647567
0.0,500,552.382987
0.0,500,554.994964
0.0,500,557.778492
3100.0,1,558.266758
0.0,500,561.075407
0.0,500,563.967556
0.0,500,566.895494
0.0,500,569.55733
0.0,500,572.544663
0.0,500,575.443147
0.0,500,578.090546
0.0,500,580.578903
0.0,500,583.322262
0.0,500,586.251818
0.0,500,589.096574
3100.0,1,589.583543
0.0,500,592.337653
0.0,500,594.927051
0.0,500,597.728513
0.0,500,600.37715
0.0,500,603.290506
0.0,500,606.111819
0.0,500,608.993489
0.0,500,611.790624
0.0,500,614.862693
0.0,500,618.605065
3100.0,1,619.117993
0.0,500,622.393985
0.0,500,625.341185
0.0,500,628.176341
0.0,500,630.699021
0.0,500,633.603386
0.0,500,636.444487
3100.0,1,636.913131
0.0,500,639.512566
0.0,500,642.849972
3100.0,1,643.309444
3200.0,1,643.77508
0.0,500,646.422477
0.0,500,649.010158
0.0,500,651.636913
0.0,500,654.434098
0.0,500,657.779191
0.0,500,660.930815
0.0,500,663.660398
0.0,500,666.454487
0.0,500,669.296759
0.0,500,671.82777
3100.0,1,672.346035
0.0,500,675.013735
0.0,500,677.883286
0.0,500,680.60149
0.0,500,683.206144
0.0,500,685.892932
0.0,500,688.380161
0.0,500,691.105098
0.0,500,693.712193
0.0,500,696.388026
0.0,500,698.950916
0.0,500,701.937618
3100.0,1,702.466346
0.0,500,705.208019
0.0,500,708.125777
3100.0,1,708.621291
0.0,500,711.137979
0.0,500,713.90435
3100.0,1,714.397877
0.0,500,717.373896
0.0,500,720.047407
0.0,500,722.660316
0.0,500,725.501578
3100.0,1,725.995064
3200.0,1,726.484067
0.0,500,729.070267
3100.0,1,729.557497
0.0,500,732.33237
3100.0,1,732.834055
0.0,500,735.58807
3100.0,1,736.082318
0.0,500,738.841595
0.0,500,741.736117
0.0,500,744.611698
0.0,500,747.601143
0.0,500,750.474188
0.0,500,753.331849
3100.0,1,753.830377
0.0,500,756.542773
3100.0,1,757.037396
3200.0,1,757.544258
0.0,500,760.441479
0.0,500,763.307383
0.0,500,765.975132
0.0,500,768.685349
3100.0,1,769.172886
3200.0,1,769.661559
3300.0,1,770.147718
0.0,500,772.961937
0.0,500,775.589899
0.0,500,778.186395
0.0,500,780.972147
3100.0,1,781.454401
3200.0,1,781.949395
0.0,500,784.78227
0.0,500,787.461004
0.0,500,790.11892
0.0,500,792.642908
3100.0,1,793.128383
0.0,500,795.722991
0.0,500,798.538027
0.0,500,801.137375
0.0,500,804.11957
3100.0,1,804.611098
3200.0,1,805.106215
0.0,500,807.78005
0.0,500,810.540101
0.0,500,813.425905
3100.0,1,813.919914
0.0,500,816.627097
0.0,500,819.223955
0.0,500,821.723745
0.0,500,824.544289
0.0,500,827.172997
0.0,500,829.902624
3100.0,1,830.400136
0.0,500,833.060777
0.0,500,836.01135
3100.0,1,836.512894
0.0,500,839.409899
3100.0,1,839.897971
3200.0,1,840.388951
3300.0,1,840.876316
3400.0,1,841.359344
0.0,500,843.979518
3100.0,1,844.476942
0.0,500,847.320607
0.0,500,850.166561
0.0,500,852.789516
0.0,500,855.65815
3100.0,1,856.153149
0.0,500,859.025162
0.0,500,861.801646
0.0,500,864.531178
0.0,500,867.398541
0.0,500,870.320584
3100.0,1,870.808253
0.0,500,873.324428
3100.0,1,873.815597
0.0,500,876.788149
3100.0,1,877.280399
3200.0,1,877.776572
0.0,500,880.502777
0.0,500,883.313649
3100.0,1,883.797603
0.0,500,886.728465
0.0,500,889.594809
3100.0,1,890.084376
0.0,500,893.032039
3100.0,1,893.515328
0.0,500,896.38695
0.0,500,899.076516
0.0,500,901.876373
3100.0,1,902.358944
0.0,500,905.242812
3100.0,1,905.738285
0.0,500,908.627445
0.0,500,911.348934
0.0,500,914.264208
0.0,500,917.171004
0.0,500,919.994338
0.0,500,922.625523
0.0,500,925.13583
0.0,500,927.769613
0.0,500,930.433015
0.0,500,933.188256
0.0,500,935.896943
0.0,500,938.822913
0.0,500,941.603399
3100.0,1,942.112066
3200.0,1,942.599273
0.0,500,945.492689
0.0,500,948.082188
3100.0,1,948.571039
0.0,500,951.251178
0.0,500,954.091042
0.0,500,956.663081
0.0,500,959.355378
3100.0,1,959.839219
3200.0,1,960.326611
0.0,500,962.952231
0.0,500,965.600967
0.0,500,968.429218
3100.0,1,968.928728
0.0,500,971.824397
0.0,500,974.445652
3100.0,1,974.9369
0.0,500,977.520578
3100.0,1,978.012851
0.0,500,980.755187
3100.0,1,981.244459
0.0,500,983.874419
0.0,500,986.623781
0.0,500,989.306514
0.0,500,991.819746
3100.0,1,992.342661
0.0,500,995.174773
0.0,500,998.071934
3100.0,1,998.575911
0.0,500,1001.475094
0.0,500,1004.309275
3100.0,1,1004.793683
0.0,500,1007.595081
3100.0,1,1008.110464
3200.0,1,1008.606749
0.0,500,1011.185105
3100.0,1,1011.679807
3200.0,1,1012.198488
0.0,500,1014.853143
0.0,500,1017.469292
0.0,500,1020.477983
0.0,500,1023.28244
0.0,500,1026.131002
3100.0,1,1026.628485
0.0,500,1029.317979
0.0,500,1031.916692
0.0,500,1034.568147
3100.0,1,1035.04604
0.0,500,1037.978478
0.0,500,1040.75051
0.0,500,1043.368705
0.0,500,1045.982019
0.0,500,1048.898229
0.0,500,1051.81871
0.0,500,1054.415232
3100.0,1,1054.901423
0.0,500,1057.476133
3100.0,1,1057.970619
3200.0,1,1058.467755
0.0,500,1061.200495
3100.0,1,1061.687144
0.0,500,1064.19891
0.0,500,1066.925089
3100.0,1,1067.412573
0.0,500,1069.998792
0.0,500,1072.612926
0.0,500,1075.400498
0.0,500,1078.077363
0.0,500,1080.751802
0.0,500,1083.437362
3100.0,1,1083.924704
0.0,500,1086.482398
0.0,500,1089.124865
0.0,500,1091.739492
0.0,500,1094.589924
0.0,500,1097.527545
0.0,500,1100.249991
0.0,500,1102.987015
0.0,500,1105.694922
3100.0,1,1106.186097
0.0,500,1108.956046
0.0,500,1111.893702
3100.0,1,1112.388674
0.0,500,1115.062217
0.0,500,1117.656204
0.0,500,1120.299266
3100.0,1,1120.792951
0.0,500,1123.39445
3100.0,1,1123.883338
0.0,500,1126.733803
3100.0,1,1127.233667
0.0,500,1129.897427
0.0,500,1132.667658
0.0,500,1135.576564
0.0,500,1138.456761
0.0,500,1141.261573
0.0,500,1144.16439
0.0,500,1147.023752
0.0,500,1149.988309
0.0,500,1153.014817
0.0,500,1155.666973
0.0,500,1158.594576
0.0,500,1161.486527
0.0,500,1164.214921
3100.0,1,1164.707389
3200.0,1,1165.187363
3300.0,1,1165.683957
3400.0,1,1166.17098
3500.0,1,1166.668586
0.0,500,1169.518804
0.0,500,1172.449575
0.0,500,1175.197003
0.0,500,1177.870091
0.0,500,1180.709812
0.0,500,1183.46266
4100.0,1,1183.949242
0.0,500,1186.562382
0.0,500,1189.298507
0.0,500,1192.248658
0.0,500,1195.087016
0.0,500,1197.866405
0.0,500,1200.672195
4100.0,1,1201.168687
0.0,500,1203.971644
0.0,500,1206.592353
0.0,500,1209.376712
4100.0,1,1209.878847
0.0,500,1212.47891
0.0,500,1215.088359
4100.0,1,1215.568449
0.0,500,1218.34981
0.0,500,1221.12306
0.0,500,1223.696036
4100.0,1,1224.174685
0.0,500,1226.82013
0.0,500,1229.3701
0.0,500,1232.127487
0.0,500,1235.083667
4100.0,1,1235.570458
0.0,500,1238.485065
4100.0,1,1238.975092
0.0,500,1241.801713
0.0,500,1244.691498
0.0,500,1247.286858
4100.0,1,1247.805014
0.0,500,1250.567501
0.0,500,1253.310651
0.0,500,1255.964079
0.0,500,1258.78711
0.0,500,1261.555357
0.0,500,1264.121271
4100.0,1,1264.621672
0.0,500,1267.19893
0.0,500,1270.162964
4100.0,1,1270.661797
